TimeStamp;ReadsAvg;WritesAvg
1479804754;62.376000000000005;119.6291
1479804757;59.3928;113.4178
1479804758;58.3325;109.1802
1479804761;57.6333;111.1642
1479804762;58.4944;113.4999
1479804763;57.778;114.8748
1479804764;58.6832;111.537
1479804766;58.8779;114.7778
1479804767;56.2908;108.8678
1479804768;58.4042;112.8732
1479804769;59.9823;116.9094
1479804770;55.8437;116.1289
1479804771;58.1452;113.1064
1479804772;57.833999999999996;111.9163
1479804774;59.0404;121.7521
1479804775;57.3831;107.6095
1479804776;52.5361;106.5753
1479804778;52.9044;106.0822
1479804779;52.2198;104.6484
1479804780;52.6688;104.4675
1479804783;52.4004;105.1053
1479804785;53.3994;104.6761
1479804786;53.2204;110.3769
1479804788;51.9749;105.3775
1479804791;52.0738;107.9022
1479804792;54.1225;106.5153
1479804793;53.6865;105.0051
1479804794;52.2771;107.6441
1479804795;52.6335;105.3
1479804796;52.3893;107.5929
1479804797;51.6313;104.8193
1479804798;53.6143;104.5162
1479804799;53.0311;105.5313
1479804801;52.4525;105.7763
1479804802;52.2558;105.1058
1479804804;52.4822;104.0282
1479804806;53.8925;105.8367
1479804807;52.5678;106.0271
1479804808;51.9899;105.7317
1479804809;52.2193;106.7666
1479804810;63.9213;128.1477
1479804811;52.2703;104.4703
1479804813;52.6899;108.4431
1479804815;52.4559;105.1586
1479804816;53.1023;108.3537
1479804817;52.0977;109.1224
1479804818;52.8927;107.9292
1479804819;53.1267;107.4804
1479804820;52.4435;105.8215
1479804821;52.5053;103.603
1479804822;64.6466;120.3192
1479804823;59.0224;122.8257
1479804827;53.2335;106.51899999999999
1479804828;52.5554;105.9506
1479804829;53.7309;104.0506
1479804830;52.0494;105.5113
1479804831;52.2564;107.6642
1479804832;52.4438;105.0624
1479804833;52.1446;105.0441
1479804836;51.8217;105.5152
1479804837;52.4743;104.2063
1479804838;52.7492;104.5431
1479804839;53.9774;105.4806
1479804840;52.102;105.8882
1479804841;53.2064;119.4291
1479804842;53.3465;107.8174
1479804843;60.5295;125.4588
1479804844;52.4569;104.0893
1479804845;52.9896;106.3666
1479804847;61.775;115.2558
1479804849;52.7493;105.3276
1479804850;51.8873;105.7364
1479804853;53.0576;105.5257
1479804854;53.1026;106.8009
1479804856;51.6161;103.3161
1479804857;52.4063;105.0732
1479804858;52.0259;105.6373
1479804860;51.8015;104.2114
1479804861;51.59;103.1931
1479804862;52.0922;104.2265
1479804863;51.7022;107.1741
1479804864;52.3676;106.5257
1479804866;51.8109;108.4984
1479804869;53.1714;109.3725
1479804872;52.2708;104.9105
1479804898;52.0091;105.9931
1479804924;51.4689;102.8432
1479804948;51.6643;102.7708
1479804996;51.9667;105.0528
1479805000;64.1712;123.4886
1479805002;121.4741;264.6282
1479805003;63.1847;131.2892
1479805004;58.1639;115.667
1479805005;58.1566;114.3636
1479805006;65.0511;117.9219
1479805007;58.1285;118.8888
1479805010;58.0608;117.5442
1479805011;57.7519;114.2313
1479805012;58.4559;116.7985
1479805013;55.8254;112.0351
1479805014;58.1138;122.7065
1479805015;55.735;115.4202
1479805016;59.1871;118.4685
1479805020;57.6627;114.9303
1479805021;54.617;112.7887
1479805022;56.1847;109.6621
1479805023;55.2278;111.7003
1479805024;56.6606;109.6639
1479805025;56.4175;116.844
1479805027;62.0576;122.5521
1479805029;55.4516;110.0188
1479805030;55.271;112.568
1479805032;53.9673;112.6131
