TimeStamp;ReadsAvg;WritesAvg
1479626031;73.8254;175.5445
1479626038;56.2413;115.2276
1479626041;56.8517;120.2875
1479626042;56.9347;108.4472
1479626043;60.5642;108.4257
1479626044;53.3994;110.7515
1479626045;58.3944;107.667
1479626046;54.3724;106.8971
1479626050;59.4581;120.039
1479626051;55.9895;114.3459
1479626053;64.1609;148.4878
1479626054;52.213;104.5988
1479626055;53.5765;106.1152
1479626060;56.4026;115.3663
1479626061;105.1628;112.8351
1479626062;75.6116;156.3458
1479626063;69.3766;111.2862
1479626064;52.5735;106.7318
1479626065;52.6548;110.8556
1479626067;54.0242;107.5651
1479626068;53.0705;108.0819
1479626069;52.917;106.574
1479626071;56.0076;111.8847
1479626074;54.382;107.7925
1479626075;53.6023;107.3016
1479626076;52.1107;104.8781
1479626077;52.4615;105.3811
1479626078;53.8592;106.2391
1479626079;53.3048;104.9613
1479626080;53.4311;106.0502
1479626082;53.7643;107.8254
1479626083;53.4191;109.2771
1479626085;53.65;107.0097
1479626087;53.7349;105.927
1479626088;72.6064;107.4514
1479626089;56.7368;110.2745
1479626090;53.424;106.8847
1479626092;52.6224;107.225
1479626093;52.4757;105.1639
1479626094;53.3295;104.9106
1479626095;53.4502;106.189
1479626097;53.4993;107.2166
1479626098;53.077;106.7199
1479626099;60.4959;107.1819
1479626100;54.4568;109.0298
1479626101;54.001999999999995;106.742
1479626103;53.7884;105.7883
1479626104;52.7272;105.9394
1479626107;53.4137;105.7343
1479626108;52.6187;105.4503
1479626109;52.3762;106.1912
1479626110;53.4655;105.8163
1479626111;54.5737;107.5956
1479626112;53.5069;107.1531
1479626113;54.2801;109.7649
1479626114;54.6865;107.8865
1479626116;54.4126;106.2511
1479626117;52.4454;106.3563
1479626119;54.4406;109.3068
1479626120;55.5479;108.1116
1479626121;54.27;107.9679
1479626122;56.176;107.2962
1479626124;53.0131;106.4246
1479626125;53.3208;108.3731
1479626126;54.2906;108.1645
1479626127;53.0734;109.0951
1479626129;67.3759;113.1903
1479626130;53.9556;109.0632
1479626131;52.1924;104.9167
1479626132;53.1664;106.8295
1479626133;54.215;106.7942
1479626135;52.6196;105.1215
1479626136;53.6541;106.1136
1479626137;57.0336;110.9486
1479626139;53.6183;107.6623
1479626140;53.1248;106.6423
1479626142;52.7898;108.0081
1479626143;54.6083;106.8968
1479626144;55.0103;110.1653
1479626145;54.0357;109.0847
1479626146;53.8394;106.7838
1479626147;53.2984;106.4301
1479626148;53.1564;105.7015
1479626149;53.1203;107.7426
1479626150;53.2275;106.8728
1479626153;69.8571;127.5803
1479626155;55.4791;107.2207
1479626156;53.3711;109.3216
1479626157;53.0715;107.2907
1479626158;57.7543;107.1543
1479626161;53.6974;107.9885
1479626162;54.0578;111.9328
1479626163;54.1215;107.5661
1479626164;53.5285;107.5008
1479626165;54.4546;105.999
1479626166;53.2136;105.7559
1479626167;52.8167;106.1102
1479626168;53.0694;107.1486
1479626171;53.1949;106.5913
1479626172;53.966;107.626
1479626174;52.7493;104.7392
1479626175;53.937;107.1425
1479626176;53.5763;107.6424
1479626177;54.4605;108.4164
1479626179;53.1673;106.9431
1479626180;55.065;117.3357
1479626182;53.8442;110.2903
1479626183;54.4136;109.208
1479626185;55.2019;110.684
1479626186;53.8537;106.1076
1479626188;52.9068;106.4192
1479626189;54.5157;106.2938
1479626190;53.7073;106.3227
1479626191;52.9671;106.2745
1479626192;54.0646;110.1219
1479626193;56.5164;112.0081
1479626194;53.9442;107.8269
1479626197;55.1195;110.5617
1479626198;52.643;104.0684
1479626200;52.9508;106.0893
1479626202;53.7084;105.9819
1479626205;53.977;109.2341
1479626206;54.8497;109.0925
1479626207;53.8418;107.2885
1479626208;54.9385;108.2555
1479626209;52.8866;105.8418
1479626210;52.6447;104.2694
1479626212;51.3133;103.0475
1479626213;52.1508;104.4101
1479626214;61.5336;120.5555
1479626217;52.2672;104.5202
1479626218;52.5968;105.4174
1479626221;52.1154;104.209
1479626222;52.5341;104.8356
1479626225;51.6251;104.7538
1479626226;60.1466;104.4053
1479626228;53.0107;106.0937
1479626231;51.6157;103.0257
1479626232;51.8446;105.7268
1479626233;52.8697;105.2033
1479626234;54.5547;104.493
1479626236;52.6485;106.5283
1479626252;53.2024;105.7225
1479626262;53.0719;107.2396
1479626263;53.5314;107.4881
1479626264;53.3846;106.8733
1479626267;62.9742;123.3223
1479626268;68.4079;139.1173
1479626271;69.3871;136.4768
1479626272;66.087;127.78200000000001
1479626273;65.5814;134.496
1479626274;60.5623;128.2561
1479626275;66.6122;136.9738
1479626276;65.7469;133.0642
1479626279;63.6495;134.0467
1479626280;66.9821;134.039
1479626283;65.1069;132.7899
1479626284;66.2001;130.7063
1479626285;64.7021;133.3469
1479626286;69.5296;145.8773
1479626288;64.8557;138.3688
1479626289;62.6506;131.7189
1479626293;55.3497;116.3479
1479626295;53.0124;107.4831
1479626296;56.3318;120.161
1479626297;54.9962;113.1599
1479626298;55.5113;109.7279
1479626299;57.8781;116.6144
1479626300;56.1106;108.2921
1479626302;55.1529;112.9349
1479626303;53.3941;109.2401
1479626304;54.1822;109.7831
1479626305;55.5772;116.0308
1479626306;57.3823;119.2467
1479626307;57.6192;112.3375
1479626308;56.2695;120.8786
1479626309;54.1872;110.7651
1479626310;56.2384;112.0715
1479626311;55.5223;117.5438
1479626312;54.8161;120.1257
1479626315;54.4095;106.7808
1479626318;54.7133;107.0906
1479626319;54.2922;114.8211
1479626320;57.4892;113.0473
1479626321;57.6558;112.859
1479626322;56.5597;113.1664
1479626323;55.1952;112.5516
1479626324;55.8142;111.8916
1479626325;54.7603;108.5526
1479626326;54.5205;107.2195
1479626327;54.6932;109.4052
1479626328;56.7523;112.6672
1479626329;54.8818;110.2223
1479626330;57.9493;111.4438
1479626331;56.3363;110.5594
1479626332;56.8604;114.6811
1479626333;59.2802;113.6376
1479626337;58.1239;116.1269
1479626339;58.6317;113.0657
1479626340;53.5635;106.4942
1479626341;54.9858;107.7731
1479626343;55.2621;116.6274
1479626344;54.1784;109.0645
1479626345;54.3161;108.6762
1479626347;56.1722;112.65100000000001
1479626348;54.9806;112.3912
1479626349;54.68600000000001;111.8163
1479626350;53.4429;111.0731
1479626351;55.9401;111.8285
1479626352;54.9929;114.1458
1479626354;55.7736;113.1789
1479626355;54.7914;110.3679
1479626356;56.4021;110.0185
1479626357;56.1303;121.7243
1479626359;53.7562;112.5463
1479626360;57.6536;115.7251
1479626364;56.5709;112.8703
1479626365;56.7894;114.6017
1479626367;55.227;108.6468
1479626368;55.0621;111.3128
1479626369;56.1334;111.8508
1479626370;53.2561;110.7892
1479626371;56.6695;109.6794
1479626372;56.5628;110.9554
1479626374;57.1375;107.9005
1479626375;56.5037;112.1078
1479626376;56.4818;116.5399
1479626378;56.3918;115.8102
1479626379;55.6327;110.1617
1479626380;55.0386;109.1627
1479626381;54.6994;110.5841
1479626383;56.345;116.2607
1479626384;56.8572;112.021
1479626385;55.7453;107.40299999999999
1479626386;56.8521;111.2661
1479626387;56.5885;114.2702
1479626390;55.8592;112.76
1479626391;56.1467;111.3119
1479626392;57.18;113.7413
1479626394;55.6091;108.6745
1479626395;54.5214;116.1137
1479626396;55.4504;109.4492
1479626397;54.9878;110.6156
1479626400;55.7682;110.8062
1479626401;60.2521;119.9198
1479626402;55.8376;111.4924
1479626403;54.6671;111.1324
1479626404;54.94;110.12100000000001
1479626405;60.0045;113.6606
1479626406;56.8155;116.3455
1479626407;56.276;112.5907
1479626408;54.8865;110.3193
1479626413;59.7209;121.7743
1479626414;56.7881;112.8735
1479626416;53.5391;107.6505
1479626417;53.8773;110.1631
1479626419;56.9774;114.779
1479626420;56.7323;113.7633
1479626421;54.9143;110.0777
1479626422;57.1202;110.3145
1479626423;55.3628;110.7665
1479626425;51.6328;103.3982
1479626426;51.562;103.3157
1479626427;53.5105;108.214
1479626450;53.6989;107.6173
1479626451;53.9486;108.1931
1479626452;52.8809;106.0867
1479626454;62.1342;124.4527
1479626455;60.9946;121.1414
1479626456;58.6698;119.5665
1479626457;59.336999999999996;122.5396
1479626460;62.1118;125.428
1479626462;60.6366;122.35799999999999
1479626463;65.3804;131.9438
1479626465;62.0831;125.09899999999999
1479626466;68.902;137.5075
1479626469;67.443;142.8612
1479626470;62.7823;124.9702
1479626471;64.038;131.6135
1479626472;64.0002;126.4006
1479626473;59.7558;121.2583
1479626474;61.8521;124.4229
1479626475;60.8469;129.7462
1479626476;61.8327;123.0844
1479626477;62.7164;128.4468
1479626479;63.3928;129.2756
1479626481;61.8417;123.3164
1479626484;65.4461;130.3204
1479626486;62.0162;122.524
1479626488;58.1701;116.7655
1479626489;57.7274;118.2615
1479626490;57.7606;116.7196
1479626491;54.8664;110.6048
1479626492;57.751000000000005;115.0423
1479626493;56.3316;110.6465
1479626494;56.5107;111.3575
1479626495;56.005;112.2071
1479626496;59.3113;119.007
1479626497;65.992;130.4732
1479626500;55.5733;113.6208
1479626501;55.9569;112.1141
1479626502;55.7985;116.4122
1479626503;56.3528;110.3906
1479626507;58.3812;118.4969
1479626509;55.8219;112.6462
1479626510;60.4318;120.9401
1479626511;58.6089;116.1354
1479626512;60.0663;121.0368
1479626513;58.0071;113.7748
1479626514;55.2821;115.5028
1479626515;55.1531;112.6216
1479626517;59.2385;117.5538
1479626518;56.0378;111.2105
1479626519;59.4655;111.7853
1479626521;58.0877;115.6528
1479626523;58.3848;113.7424
1479626524;56.1541;111.8251
1479626525;58.2453;111.5501
1479626528;55.8471;116.4681
1479626529;56.5458;112.2802
1479626531;56.7624;113.4139
1479626532;60.1032;118.2435
1479626533;56.8701;115.8642
1479626535;58.9046;116.5597
1479626536;55.968999999999994;112.3598
1479626537;56.6231;113.7312
1479626538;56.3823;114.6097
1479626539;56.3646;111.9678
1479626540;59.5756;115.5234
1479626541;61.1842;121.3805
1479626543;60.7119;119.4081
1479626544;59.4498;119.5545
1479626545;59.4883;119.7544
1479626546;59.7764;120.4078
1479626547;58.5616;113.788
1479626548;59.513000000000005;119.0041
1479626549;60.4076;123.1663
1479626551;56.3272;111.1341
1479626552;57.4207;116.6251
1479626554;57.4558;117.7137
1479626555;55.8924;114.6312
1479626556;57.7804;119.3095
1479626559;59.5556;113.6597
1479626560;56.8504;118.7516
1479626561;58.2217;113.6221
1479626563;58.5347;116.7853
1479626564;59.041000000000004;118.4736
1479626565;56.49;116.3598
1479626566;57.9521;117.47399999999999
1479626567;57.3005;114.2566
1479626569;62.146;121.3735
1479626570;58.3357;120.0892
1479626572;62.1171;114.5447
1479626574;57.8595;118.2026
1479626575;57.1399;116.686
1479626577;60.6074;116.5951
1479626578;59.225;116.9831
1479626581;61.3309;118.1204
1479626582;57.8766;116.1953
1479626585;58.4895;115.2503
1479626586;57.3303;115.6071
1479626587;56.1111;113.8942
1479626588;56.8308;117.1789
1479626589;56.2151;112.8132
1479626590;58.0882;116.829
1479626591;56.1044;111.6325
1479626592;56.6412;112.1151
1479626594;57.5289;111.7165
1479626596;57.0806;117.2927
1479626598;57.898999999999994;114.2216
1479626599;58.9569;114.6442
1479626600;56.1459;112.7091
1479626604;56.595;112.5825
1479626605;57.6638;115.6863
1479626606;60.6094;121.1305
1479626607;56.0093;115.4403
1479626608;54.1565;110.5591
1479626609;58.3143;112.1535
1479626610;57.7983;112.9727
1479626611;54.0047;109.4449
1479626613;51.2804;103.3348
1479626626;53.5767;107.1285
1479626636;56.5181;111.777
1479626637;53.4719;107.5339
1479626638;54.2044;109.1071
1479626640;73.8382;147.7929
1479626641;63.0694;129.3979
1479626644;61.6759;122.8548
1479626646;62.2789;127.5781
1479626647;69.6733;140.4433
1479626648;67.7481;139.1747
1479626649;67.4359;132.9837
1479626653;64.2454;132.7045
1479626654;67.8239;140.0578
1479626655;70.4728;137.9191
1479626656;67.8421;146.2078
1479626657;67.1733;131.7038
1479626658;67.0016;134.8435
1479626659;71.2717;144.2826
1479626660;66.7413;133.884
1479626661;62.0274;127.598
1479626662;65.8139;131.7123
1479626663;65.5436;131.7687
1479626666;69.9195;140.9561
1479626668;65.6371;133.8653
1479626669;64.7377;128.1969
1479626672;64.7337;128.2203
1479626674;62.6861;126.5151
