TimeStamp;ReadsAvg;WritesAvg
1479739985;62.0532;123.8074
1479739995;55.948;114.3893
1479739996;60.4136;119.6193
1479739997;66.8118;126.0616
1479739998;75.1909;172.2968
1479739999;55.647;107.4999
1479740000;55.0197;112.6312
1479740001;53.9591;111.1837
1479740003;54.9834;111.3052
1479740005;77.7429;145.4925
1479740007;82.7612;117.3506
1479740008;57.9245;111.6435
1479740010;67.3888;132.8852
1479740011;64.7295;134.0438
1479740012;56.676;124.3746
1479740014;53.3608;110.3031
1479740015;53.9558;110.5752
1479740016;55.2721;117.2013
1479740017;53.2208;109.0667
1479740018;53.2947;113.45700000000001
1479740019;54.1646;111.1902
1479740020;53.3825;110.9756
1479740021;53.3056;111.5116
1479740022;53.4463;110.3026
1479740023;53.578;117.3038
1479740026;140.5522;256.6403
1479740028;54.1265;108.8039
1479740030;132.0572;462.5409
1479740031;56.9347;113.4703
1479740033;54.9455;110.7796
1479740034;64.6462;129.7333
1479740035;58.2111;111.5801
1479740036;62.2451;130.2758
1479740038;56.794;116.2236
1479740039;54.3457;114.4011
1479740040;55.1433;111.3167
1479740041;53.4945;107.932
1479740045;53.2436;111.7799
1479740046;54.3274;110.7204
1479740047;57.882;116.0752
1479740048;55.7821;114.0805
1479740049;53.3466;107.7383
1479740050;58.8088;124.5704
1479740051;53.7584;109.4959
1479740056;53.1667;108.9623
1479740057;55.6179;114.1938
1479740058;57.1135;118.8222
1479740059;64.5439;127.2915
1479740060;67.7728;132.0925
1479740061;69.3398;132.5754
1479740063;64.6634;120.2547
1479740066;54.1254;113.3778
1479740067;53.8522;110.6597
1479740068;55.0051;109.9829
1479740069;54.3606;109.4702
1479740070;53.5915;115.3206
1479740071;54.2153;111.5194
1479740072;57.7953;127.0081
1479740073;56.8998;109.0807
1479740074;60.5561;122.3105
1479740076;55.3438;113.9031
1479740077;56.7085;110.0007
1479740080;58.7596;119.7678
1479740081;62.0603;128.8472
1479740083;56.3075;115.6959
1479740084;59.1099;118.3786
1479740085;58.034;112.5848
1479740088;56.7343;111.6009
1479740089;54.0424;109.8034
1479740090;55.1556;113.4641
1479740091;54.8731;109.6197
1479740093;58.9766;121.113
1479740095;59.5419;121.3266
1479740096;67.5789;121.2822
1479740097;61.722;110.2165
1479740098;108.3471;113.6753
1479740099;62.3773;123.0446
1479740101;56.8154;114.336
1479740104;143.0134;138.5263
1479740105;63.0092;122.0372
1479740108;53.8839;111.8379
1479740109;53.7821;110.8171
1479740111;53.2759;106.6242
1479740112;52.3454;105.0119
1479740114;53.9663;108.4239
1479740115;61.628;116.7677
1479740116;56.4654;118.1774
1479740118;56.0773;112.8241
1479740119;54.6673;110.54299999999999
1479740120;54.4337;108.3096
1479740124;54.6678;109.3095
1479740125;53.8361;108.1024
1479740127;54.2252;110.0785
1479740129;55.3902;109.8691
1479740130;53.6864;107.65
1479740131;55.9018;111.2571
1479740133;53.9258;107.5013
1479740134;61.7631;117.2422
1479740136;54.2918;108.8537
1479740137;52.9134;107.9418
1479740138;58.5546;110.4035
1479740139;67.649;121.8191
1479740140;58.2015;113.6818
1479740142;54.6109;108.9162
1479740144;58.4528;119.1901
1479740146;56.9639;116.5112
1479740150;54.2202;108.0318
1479740151;54.0308;109.5938
1479740154;55.1983;107.8474
1479740155;53.5579;107.5583
1479740156;55.2546;108.1926
1479740157;54.0411;107.5953
1479740158;52.6276;105.1099
1479740160;51.9003;104.0146
1479740165;73.329;151.8751
1479740166;57.7744;121.2847
1479740167;52.9467;116.0585
1479740168;55.6718;112.9908
1479740169;55.3125;113.4052
1479740170;55.7285;110.0528
1479740171;63.8049;121.7993
1479740172;55.0711;112.0151
1479740174;54.3163;108.1982
1479740175;61.0105;116.7551
1479740177;66.155;133.4307
1479740178;70.7176;146.0708
1479740179;69.1894;138.55
1479740180;74.3465;135.6234
1479740183;54.1273;110.609
1479740184;55.5812;114.2794
1479740185;53.9796;112.2098
1479740186;55.0409;113.0464
1479740188;54.3148;111.5214
1479740189;53.6459;110.3824
1479740190;54.0651;111.5278
1479740192;55.2458;114.4033
1479740193;54.5251;112.9372
1479740194;55.8578;111.6986
1479740195;64.1343;119.8911
1479740196;56.6865;115.8797
1479740197;57.9275;116.165
1479740200;57.4664;111.0383
1479740202;171.4403;334.8132
1479740203;62.425;155.2067
1479740204;61.2619;122.6747
1479740205;64.3415;128.2445
1479740206;100.5902;225.8798
1479740208;71.0685;148.0563
1479740211;58.9936;120.1436
1479740212;56.1825;112.2855
1479740213;65.7354;126.3096
1479740215;59.3854;119.1263
1479740216;59.8107;120.1525
1479740217;60.2259;126.6536
1479740219;54.2691;110.6773
1479740221;66.23;134.2084
1479740223;71.3365;142.0047
1479740224;62.9476;132.4461
1479740225;59.0065;123.9657
1479740226;55.7894;112.5602
1479740227;56.6232;113.5333
1479740229;57.2729;118.2218
1479740232;55.6041;112.4556
1479740233;65.2144;139.6578
1479740235;54.3673;107.71600000000001
1479740236;55.0334;108.0095
1479740237;54.8438;111.1802
1479740238;62.2542;118.6213
1479740239;62.8732;124.9337
1479740240;59.3215;117.9894
1479740242;60.5176;114.8889
1479740243;54.6899;111.9357
1479740246;58.7565;121.6249
1479740247;54.2604;108.6163
1479740248;59.52;121.1875
1479740250;56.9358;111.5939
1479740251;56.7258;115.03299999999999
1479740252;56.0935;112.1466
1479740253;60.8657;114.3135
1479740256;58.0678;121.7485
1479740258;56.5902;111.8864
1479740261;54.6415;110.4194
1479740262;63.4696;126.8701
1479740263;62.9196;126.57799999999999
1479740264;59.1733;123.771
1479740265;66.202;127.4562
1479740266;61.6379;114.8749
1479740268;56.7335;116.1826
1479740269;57.5769;114.0531
1479740271;70.4047;146.8183
1479740272;57.8324;119.0343
1479740273;59.7768;118.6359
1479740274;66.1395;128.6941
1479740275;66.9847;127.2056
1479740278;56.0667;111.3361
1479740279;53.8152;109.0124
1479740284;53.9156;108.7466
1479740285;55.6976;110.3237
1479740286;55.0321;111.5106
1479740287;66.5634;127.5078
1479740288;57.7342;114.8488
1479740289;64.4348;122.7556
1479740290;66.0914;132.6012
1479740294;65.3224;124.0684
1479740295;61.0239;121.4674
1479740296;59.0775;111.3941
1479740298;61.3088;114.6887
1479740299;63.5585;120.3378
1479740300;111.2944;121.8175
1479740304;59.617;115.2502
1479740306;60.4767;127.4477
1479740307;61.0081;122.215
1479740308;55.3742;110.0752
1479740309;107.4756;149.0204
1479740310;66.6402;125.5379
1479740312;55.3064;112.0846
1479740314;56.1618;117.794
1479740315;62.2408;116.0484
1479740317;54.9133;111.5417
1479740318;54.4055;108.6993
1479740319;55.1863;112.4385
1479740320;61.6484;122.8376
1479740321;60.3439;117.0529
1479740323;58.2406;129.6009
1479740325;57.7222;115.7325
1479740326;55.1584;112.0408
1479740327;55.703;111.2692
1479740328;55.5159;113.1554
1479740330;54.928999999999995;108.8507
1479740331;55.278999999999996;119.1934
1479740332;54.6018;108.0637
1479740333;55.2196;107.0842
1479740334;54.8151;109.5187
1479740335;59.2848;120.6071
1479740336;58.1799;114.8198
1479740338;55.5113;109.7323
1479740339;57.4832;113.1579
1479740340;57.2976;116.1515
1479740346;54.0277;106.4458
1479740347;52.3604;104.9509
1479740348;52.5981;108.0573
1479740383;54.9096;108.1472
1479740384;65.4851;119.22
1479740385;82.1597;142.5481
1479740386;72.5894;161.7156
1479740387;68.9648;136.6128
1479740391;80.0765;149.4843
1479740393;74.6065;160.2565
1479740395;74.5637;164.2374
1479740396;71.5581;136.9906
1479740398;71.5321;134.3501
1479740400;88.74700000000001;214.9203
1479740401;67.7289;131.9604
1479740402;82.445;183.1849
1479740405;72.1293;143.9739
1479740408;90.5839;146.0679
1479740409;75.9695;167.0638
1479740410;69.7685;145.7234
1479740412;88.7257;166.1827
1479740413;77.3833;153.6265
1479740415;64.8787;132.4928
1479740416;71.6207;143.4847
1479740417;67.7664;151.6955
1479740420;62.8815;122.7747
1479740422;86.5509;164.0985
1479740423;74.0528;142.9923
1479740425;100.698;245.7235
1479740426;61.4422;126.1711
1479740427;63.5913;121.51
1479740430;77.1927;144.8163
1479740431;75.9151;145.875
1479740432;70.7839;130.6284
1479740433;69.3383;143.3611
1479740435;65.7498;135.595
1479740436;59.3421;116.3752
1479740437;55.9261;113.9981
1479740438;56.3754;114.0636
1479740439;55.9603;114.4213
1479740440;54.9444;109.537
1479740444;75.87;129.2333
1479740445;72.8729;150.9404
1479740447;90.4293;162.356
1479740451;54.8684;116.1102
1479740453;56.9615;115.2156
1479740455;69.6519;136.4203
1479740457;60.2664;125.1862
1479740458;55.3782;111.3198
1479740460;56.772;114.8127
1479740461;56.7503;118.3836
1479740462;56.1492;115.0292
1479740463;54.4767;109.4142
1479740466;56.4118;111.2868
1479740467;65.3975;134.7792
1479740468;68.4065;135.235
1479740470;56.8871;117.3079
1479740472;57.3328;117.0955
1479740473;55.2716;111.2705
1479740474;56.7556;111.7741
1479740477;75.8604;146.6998
1479740478;74.53;149.2669
1479740479;61.5023;119.5423
1479740480;81.1286;150.7464
1479740481;69.2231;156.5834
1479740483;55.2429;109.6063
1479740484;64.437;116.0089
1479740486;63.0429;126.3272
1479740487;63.2326;127.5299
1479740490;58.9919;114.209
1479740491;57.6059;119.8917
1479740492;57.1716;113.6303
1479740493;57.4888;119.4065
1479740494;55.2433;113.8028
1479740496;55.6852;117.9423
1479740498;54.6002;109.1872
1479740500;55.3718;110.0602
1479740501;57.3525;111.306
1479740502;60.6265;115.7369
1479740503;54.8205;112.2031
1479740504;54.4636;108.9824
1479740505;57.9993;112.384
1479740506;57.3893;116.0869
1479740509;57.1556;115.8656
1479740511;63.173;122.3893
1479740512;66.863;134.4493
1479740514;79.3231;150.6531
1479740515;80.0913;159.8432
1479740516;65.6298;123.7175
1479740517;60.5966;124.9847
1479740519;62.4129;138.2878
1479740520;60.4185;123.7022
1479740521;62.9501;139.6574
1479740523;79.4158;138.5083
1479740524;55.8271;110.7895
1479740525;62.6037;118.7325
1479740531;63.0922;120.5905
1479740532;64.5411;132.7119
1479740535;52.9282;108.7368
1479740536;52.1643;105.8933
1479740539;52.2351;104.6204
1479740540;53.4338;106.4165
1479740541;53.2283;107.7489
1479740563;57.855;116.1981
1479740564;58.5511;110.1491
1479740565;63.6134;129.795
1479740568;59.3914;118.4275
1479740569;60.683;124.0896
1479740570;62.3145;130.2201
1479740571;65.9098;129.8883
1479740572;66.4929;135.825
1479740575;63.995;131.7802
1479740578;70.3666;145.5112
1479740579;73.9218;153.5611
1479740580;70.0474;145.5784
1479740581;73.5817;141.0783
1479740583;74.2398;147.2031
1479740586;90.5797;177.9372
1479740587;86.96700000000001;168.4721
1479740588;74.7993;159.1141
1479740590;76.92699999999999;164.1131
1479740591;78.2892;159.6984
1479740592;81.8208;154.5918
1479740594;69.9932;131.2028
1479740595;63.9019;129.6297
1479740596;64.8806;129.1912
1479740598;80.2636;159.9779
1479740599;65.0613;138.3074
1479740601;59.2074;117.3345
1479740602;59.2422;118.87700000000001
1479740603;57.1295;116.2412
1479740605;58.453;123.5789
1479740606;56.9366;115.5036
1479740607;56.07899999999999;111.8144
1479740608;59.4019;116.7962
1479740610;62.4753;134.2835
1479740611;64.6841;118.2116
1479740614;57.1338;113.429
1479740615;57.2524;113.1803
1479740618;58.6388;121.8922
1479740619;57.473;113.6297
1479740620;58.6905;122.3032
1479740621;55.9505;111.3873
1479740623;58.2927;116.3208
1479740624;55.7978;111.115
1479740625;57.9493;119.3918
1479740627;56.2466;118.6033
1479740630;70.09;130.2719
1479740632;69.8798;135.1394
1479740633;60.3352;124.8257
1479740634;57.5933;112.2311
1479740636;58.4204;119.4819
1479740637;57.5108;114.0403
1479740638;57.9609;118.3094
1479740640;56.8483;114.4818
1479740641;58.5103;115.8855
1479740643;57.1843;123.9657
1479740644;57.3754;112.7055
1479740645;87.6224;136.1571
1479740647;91.8344;157.7602
1479740649;62.8113;128.213
1479740650;67.7857;146.3268
1479740651;69.5774;151.5124
1479740653;72.1561;155.5448
1479740655;70.0644;135.4253
1479740656;56.9261;120.0441
1479740657;55.6444;117.1443
1479740660;74.565;131.7113
1479740661;60.1881;121.4324
1479740662;57.0636;123.9009
1479740663;59.9671;124.7052
1479740665;57.0432;117.7316
1479740666;60.0164;117.6733
1479740668;55.4764;113.6864
1479740670;57.5506;115.9132
1479740671;60.1893;115.0551
1479740672;57.7152;115.9738
1479740674;54.5827;108.9654
1479740676;56.4026;114.8965
1479740677;58.5371;119.296
1479740679;56.1573;114.3915
1479740681;59.1312;118.9772
1479740683;65.3775;137.9176
1479740684;71.4098;128.3027
1479740685;67.286;139.6643
1479740686;59.556000000000004;118.3339
1479740687;60.5523;126.956
1479740688;76.45100000000001;150.8039
1479740691;60.3427;125.9124
1479740692;57.5762;115.9591
1479740693;58.3373;120.5552
1479740694;56.628;120.3979
1479740697;60.0355;123.8309
1479740699;56.6807;114.0556
1479740700;55.2032;113.13
1479740703;66.6247;143.6398
1479740704;62.803999999999995;127.6058
1479740707;60.3581;127.6919
1479740708;57.5211;111.2208
1479740709;60.3773;121.2743
1479740710;74.2534;148.226
1479740711;65.7927;126.6102
1479740712;57.5169;123.4365
1479740717;58.8976;113.18
1479740721;55.6408;112.0418
1479740722;56.7966;119.1911
1479740723;55.8446;111.5836
1479740724;58.6539;125.8817
1479740725;58.2356;115.1548
1479740726;57.8516;116.7331
1479740728;54.7141;110.0247
1479740729;52.11;104.5229
1479740733;54.2809;108.5743
1479740747;64.1694;119.4941
1479740750;68.1643;147.0744
1479740751;85.8048;159.0595
1479740753;59.1215;119.2629
1479740754;56.2975;117.2332
1479740756;70.8643;132.8907
1479740758;104.8154;174.9007
1479740759;97.6858;226.1917
1479740761;97.4449;171.7047
1479740763;69.9055;145.1431
1479740764;72.9136;144.4321
1479740766;86.351;189.3391
1479740767;77.2254;150.4234
1479740768;70.4378;146.5206
1479740769;67.6048;135.816
1479740771;70.6964;145.004
1479740773;64.718;135.4297
1479740775;63.2268;125.1383
1479740776;89.5014;186.2275
1479740778;79.418;154.891
1479740779;72.814;148.4041
1479740782;64.8919;131.8393
1479740783;68.9482;137.4713
1479740784;61.2719;127.0501
1479740785;58.2602;117.3339
1479740786;76.3519;145.1928
1479740788;82.4976;169.1809
1479740790;71.8286;143.4947
1479740791;83.681;181.0413
1479740792;62.2002;130.1324
1479740793;60.4073;122.0552
1479740796;56.4255;115.681
1479740797;56.6903;113.708
1479740798;57.8727;115.4419
1479740799;56.4655;114.9392
1479740804;57.4917;112.5677
1479740806;57.7262;116.2886
1479740807;59.542;118.7101
1479740808;58.9158;118.6182
1479740809;58.1538;117.8418
1479740810;55.9773;115.1062
1479740812;62.7468;117.4475
1479740813;69.7134;122.4844
1479740815;57.0367;117.3569
1479740817;60.2124;120.7718
1479740820;61.1027;127.4897
1479740821;58.4642;115.9698
1479740823;70.5626;143.1399
1479740824;64.4131;141.1849
1479740825;63.4;127.9915
1479740830;58.2;118.1741
1479740831;57.3594;117.6654
1479740833;68.8086;150.2389
1479740834;70.5761;133.7168
1479740835;76.6812;147.2378
1479740836;61.9853;137.3856
1479740837;56.2404;111.6422
1479740838;58.6303;120.6897
1479740842;75.1126;139.4421
1479740844;65.4862;133.1377
1479740847;60.1463;118.2475
1479740848;61.4388;112.9472
1479740849;75.84100000000001;135.9219
1479740850;56.0338;111.8982
1479740852;59.0728;116.8415
1479740853;58.713;118.0206
1479740854;57.388000000000005;114.3825
1479740855;59.1187;114.4945
1479740856;57.9924;115.5532
1479740857;57.7776;115.8765
1479740859;58.8957;122.7246
1479740860;57.5385;117.9507
1479740864;56.2428;115.82799999999999
1479740865;69.1115;139.1522
1479740866;61.5566;119.1654
1479740868;61.4769;119.8491
1479740870;58.8471;117.7203
1479740871;71.7018;132.1506
1479740872;72.3148;144.9569
1479740874;57.8068;115.2045
1479740876;61.1944;122.3616
1479740878;56.785;114.1676
1479740880;59.8597;118.4462
1479740881;57.6004;118.6763
1479740882;59.5293;116.3146
1479740883;57.2709;119.2912
1479740884;59.1019;115.3466
1479740885;57.2762;117.3533
1479740887;59.8069;118.2998
1479740888;58.1934;113.6035
1479740889;58.7284;118.8483
1479740890;68.4948;141.4537
1479740892;59.4488;119.3259
1479740894;57.2973;113.2451
1479740896;59.4523;121.1175
1479740899;56.4219;111.029
1479740900;55.0081;109.70299999999999
1479740901;56.0517;113.8073
1479740902;63.3826;120.6202
1479740903;71.9637;146.4754
1479740904;64.1782;134.5578
1479740906;64.8189;125.0891
1479740907;65.0839;134.011
1479740908;63.0159;121.81200000000001
1479740909;66.1806;119.3983
1479740911;58.1972;115.8027
1479740913;57.0233;116.38799999999999
1479740914;54.9736;113.0691
1479740915;56.1007;111.9598
1479740917;57.3266;112.8642
1479740919;53.6841;107.6918
1479740924;54.07899999999999;107.3928
1479740926;52.7556;106.1435
1479740927;52.9442;106.0688
1479740972;61.1459;117.583
1479740978;73.0951;137.4226
1479740979;81.256;159.3586
1479740982;69.1195;131.722
1479740983;72.1205;164.9464
1479740984;86.7282;151.7906
1479740985;138.7656;251.3411
1479740988;75.8475;142.2386
1479740990;58.1135;111.4995
1479740992;57.6722;117.0579
1479740993;72.6355;149.4205
1479740994;67.2153;136.8491
1479740995;73.8596;187.3837
1479740999;65.0559;135.344
1479741000;61.2423;137.0414
1479741001;83.2087;169.1826
1479741002;63.9842;137.4347
1479741003;65.2469;145.5534
1479741004;55.1454;110.9587
1479741005;56.8078;113.1153
1479741007;62.7279;131.1562
1479741009;71.7479;132.8016
1479741011;68.9468;128.8908
